id	node1	label	node2	node2;kgtk:data_type	node2;kgtk:valid	node2;kgtk:list_len	node2;kgtk:number	node2;kgtk:low_tolerance	node2;kgtk:high_tolerance	node2;kgtk:si_units	node2;kgtk:units_node	node2;kgtk:text	node2;kgtk:language	node2;kgtk:language_suffix	node2;kgtk:latitude	node2;kgtk:longitude	node2;kgtk:date_and_time	node2;kgtk:precision	node2;kgtk:truth	node2;kgtk:symbol
awsd.csv;J8	QQTEST01_Incident_ID_22	PVARIABLE-QTEST01-002	2	number	True	0	2													
awsd.csv;J8-P585-^1997-09-24T00:00:00/10-0000	awsd.csv;J8	P585	^1997-09-24T00:00:00/10	date_and_times	True	0											"1997-09-24T00:00:00"	10		
awsd.csv;J8-P2006020004-Qawsd-0000	awsd.csv;J8	P2006020004	Qawsd	symbol	True	0														Qawsd
awsd.csv;J8-P17-Q115-0000	awsd.csv;J8	P17	Q115	symbol	True	0														Q115
awsd.csv;J8-P2006190001-Q55606809-0000	awsd.csv;J8	P2006190001	Q55606809	symbol	True	0														Q55606809
awsd.csv;J8-P276-"POINT( 44.795 8.53056 )"-0000	awsd.csv;J8	P276	"POINT( 44.795 8.53056 )"	string	True	0						"POINT( 44.795 8.53056 )"								
awsd.csv;J8-PQUALIFIER-QTEST01-023-"Shooting"-0000	awsd.csv;J8	PQUALIFIER-QTEST01-023	"Shooting"	string	True	0						"Shooting"								
awsd.csv;J8-PQUALIFIER-QTEST01-024-"Individual attack"-0000	awsd.csv;J8	PQUALIFIER-QTEST01-024	"Individual attack"	string	True	0						"Individual attack"								
awsd.csv;J8-PQUALIFIER-QTEST01-025-"Unknown"-0000	awsd.csv;J8	PQUALIFIER-QTEST01-025	"Unknown"	string	True	0						"Unknown"								
awsd.csv;J8-PQUALIFIER-QTEST01-026-"Unknown"-0000	awsd.csv;J8	PQUALIFIER-QTEST01-026	"Unknown"	string	True	0						"Unknown"								
awsd.csv;J8-PQUALIFIER-QTEST01-027-"Unknown"-0000	awsd.csv;J8	PQUALIFIER-QTEST01-027	"Unknown"	string	True	0						"Unknown"								
awsd.csv;J8-PQUALIFIER-QTEST01-028-"2 UN national staffers shot dead in apparent robbery attempt in Ogaden region Sept 24."-0000	awsd.csv;J8	PQUALIFIER-QTEST01-028	"2 UN national staffers shot dead in apparent robbery attempt in Ogaden region Sept 24."	string	True	0						"2 UN national staffers shot dead in apparent robbery attempt in Ogaden region Sept 24."								
awsd.csv;J8-PQUALIFIER-QTEST01-029-"Archived"-0000	awsd.csv;J8	PQUALIFIER-QTEST01-029	"Archived"	string	True	0						"Archived"								
awsd.csv;J8-PQUALIFIER-QTEST01-030-"Archived"-0000	awsd.csv;J8	PQUALIFIER-QTEST01-030	"Archived"	string	True	0						"Archived"								
awsd.csv;J9	QQTEST01_Incident_ID_47	PVARIABLE-QTEST01-002	0	number	True	0	0													
awsd.csv;J9-P585-^1998-06-25T00:00:00/10-0000	awsd.csv;J9	P585	^1998-06-25T00:00:00/10	date_and_times	True	0											"1998-06-25T00:00:00"	10		
awsd.csv;J9-P2006020004-Qawsd-0000	awsd.csv;J9	P2006020004	Qawsd	symbol	True	0														Qawsd
awsd.csv;J9-P17-Q115-0000	awsd.csv;J9	P17	Q115	symbol	True	0														Q115
awsd.csv;J9-P2006190001-Q202800-0000	awsd.csv;J9	P2006190001	Q202800	symbol	True	0														Q202800
awsd.csv;J9-P276-"POINT( 44 7 )"-0000	awsd.csv;J9	P276	"POINT( 44 7 )"	string	True	0						"POINT( 44 7 )"								
awsd.csv;J9-PQUALIFIER-QTEST01-023-"Kidnapping"-0000	awsd.csv;J9	PQUALIFIER-QTEST01-023	"Kidnapping"	string	True	0						"Kidnapping"								
awsd.csv;J9-PQUALIFIER-QTEST01-024-"Ambush"-0000	awsd.csv;J9	PQUALIFIER-QTEST01-024	"Ambush"	string	True	0						"Ambush"								
awsd.csv;J9-PQUALIFIER-QTEST01-025-"Road"-0000	awsd.csv;J9	PQUALIFIER-QTEST01-025	"Road"	string	True	0						"Road"								
awsd.csv;J9-PQUALIFIER-QTEST01-026-"Non-state armed group: Regional"-0000	awsd.csv;J9	PQUALIFIER-QTEST01-026	"Non-state armed group: Regional"	string	True	0						"Non-state armed group: Regional"								
awsd.csv;J9-PQUALIFIER-QTEST01-027-"Al-Itihaad al-Islamiya"-0000	awsd.csv;J9	PQUALIFIER-QTEST01-027	"Al-Itihaad al-Islamiya"	string	True	0						"Al-Itihaad al-Islamiya"								
awsd.csv;J9-PQUALIFIER-QTEST01-028-"6 ICRC international staff (1 Swiss, 5 Somali) abducted when travelling from Gode to Degeh Bur in three marked vehicles on June 25. On July 3 the Islamic group al-Ittihad al-Islami claimed responsibility, stating that the hostages were under investigation."-0000	awsd.csv;J9	PQUALIFIER-QTEST01-028	"6 ICRC international staff (1 Swiss, 5 Somali) abducted when travelling from Gode to Degeh Bur in three marked vehicles on June 25. On July 3 the Islamic group al-Ittihad al-Islami claimed responsibility, stating that the hostages were under investigation."	string	True	0						"6 ICRC international staff (1 Swiss, 5 Somali) abducted when travelling from Gode to Degeh Bur in three marked vehicles on June 25. On July 3 the Islamic group al-Ittihad al-Islami claimed responsibility, stating that the hostages were under investigation."								
awsd.csv;J9-PQUALIFIER-QTEST01-029-"Archived"-0000	awsd.csv;J9	PQUALIFIER-QTEST01-029	"Archived"	string	True	0						"Archived"								
awsd.csv;J9-PQUALIFIER-QTEST01-030-"Archived"-0000	awsd.csv;J9	PQUALIFIER-QTEST01-030	"Archived"	string	True	0						"Archived"								
awsd.csv;J10	QQTEST01_Incident_ID_73	PVARIABLE-QTEST01-002	0	number	True	0	0													
awsd.csv;J10-P585-^1999-04-01T00:00:00/10-0000	awsd.csv;J10	P585	^1999-04-01T00:00:00/10	date_and_times	True	0											"1999-04-01T00:00:00"	10		
awsd.csv;J10-P2006020004-Qawsd-0000	awsd.csv;J10	P2006020004	Qawsd	symbol	True	0														Qawsd
awsd.csv;J10-P17-Q115-0000	awsd.csv;J10	P17	Q115	symbol	True	0														Q115
awsd.csv;J10-P276-"POINT( 40.489673 9.145 )"-0000	awsd.csv;J10	P276	"POINT( 40.489673 9.145 )"	string	True	0						"POINT( 40.489673 9.145 )"								
awsd.csv;J10-PQUALIFIER-QTEST01-023-"Kidnapping"-0000	awsd.csv;J10	PQUALIFIER-QTEST01-023	"Kidnapping"	string	True	0						"Kidnapping"								
awsd.csv;J10-PQUALIFIER-QTEST01-024-"Unknown"-0000	awsd.csv;J10	PQUALIFIER-QTEST01-024	"Unknown"	string	True	0						"Unknown"								
awsd.csv;J10-PQUALIFIER-QTEST01-025-"Unknown"-0000	awsd.csv;J10	PQUALIFIER-QTEST01-025	"Unknown"	string	True	0						"Unknown"								
awsd.csv;J10-PQUALIFIER-QTEST01-026-"Unknown"-0000	awsd.csv;J10	PQUALIFIER-QTEST01-026	"Unknown"	string	True	0						"Unknown"								
awsd.csv;J10-PQUALIFIER-QTEST01-027-"Unknown"-0000	awsd.csv;J10	PQUALIFIER-QTEST01-027	"Unknown"	string	True	0						"Unknown"								
awsd.csv;J10-PQUALIFIER-QTEST01-028-"1 INGO international (French) staff kidnapped and later released"-0000	awsd.csv;J10	PQUALIFIER-QTEST01-028	"1 INGO international (French) staff kidnapped and later released"	string	True	0						"1 INGO international (French) staff kidnapped and later released"								
awsd.csv;J10-PQUALIFIER-QTEST01-029-"Archived"-0000	awsd.csv;J10	PQUALIFIER-QTEST01-029	"Archived"	string	True	0						"Archived"								
awsd.csv;J10-PQUALIFIER-QTEST01-030-"Archived"-0000	awsd.csv;J10	PQUALIFIER-QTEST01-030	"Archived"	string	True	0						"Archived"								
awsd.csv;J11	QQTEST01_Incident_ID_103	PVARIABLE-QTEST01-002	0	number	True	0	0													
awsd.csv;J11-P585-^2000-02-01T00:00:00/10-0000	awsd.csv;J11	P585	^2000-02-01T00:00:00/10	date_and_times	True	0											"2000-02-01T00:00:00"	10		
awsd.csv;J11-P2006020004-Qawsd-0000	awsd.csv;J11	P2006020004	Qawsd	symbol	True	0														Qawsd
awsd.csv;J11-P17-Q115-0000	awsd.csv;J11	P17	Q115	symbol	True	0														Q115
awsd.csv;J11-P276-"POINT( 40.489673 9.145 )"-0000	awsd.csv;J11	P276	"POINT( 40.489673 9.145 )"	string	True	0						"POINT( 40.489673 9.145 )"								
awsd.csv;J11-PQUALIFIER-QTEST01-023-"Unknown"-0000	awsd.csv;J11	PQUALIFIER-QTEST01-023	"Unknown"	string	True	0						"Unknown"								
awsd.csv;J11-PQUALIFIER-QTEST01-024-"Ambush"-0000	awsd.csv;J11	PQUALIFIER-QTEST01-024	"Ambush"	string	True	0						"Ambush"								
awsd.csv;J11-PQUALIFIER-QTEST01-025-"Unknown"-0000	awsd.csv;J11	PQUALIFIER-QTEST01-025	"Unknown"	string	True	0						"Unknown"								
awsd.csv;J11-PQUALIFIER-QTEST01-026-"Unknown"-0000	awsd.csv;J11	PQUALIFIER-QTEST01-026	"Unknown"	string	True	0						"Unknown"								
awsd.csv;J11-PQUALIFIER-QTEST01-027-"Unknown"-0000	awsd.csv;J11	PQUALIFIER-QTEST01-027	"Unknown"	string	True	0						"Unknown"								
awsd.csv;J11-PQUALIFIER-QTEST01-028-"1 INGO national staff killed and 1 international staff wounded when vehicle ambushed."-0000	awsd.csv;J11	PQUALIFIER-QTEST01-028	"1 INGO national staff killed and 1 international staff wounded when vehicle ambushed."	string	True	0						"1 INGO national staff killed and 1 international staff wounded when vehicle ambushed."								
awsd.csv;J11-PQUALIFIER-QTEST01-029-"Archived"-0000	awsd.csv;J11	PQUALIFIER-QTEST01-029	"Archived"	string	True	0						"Archived"								
